run_id,field,value
01-resident,schema_version,1
01-resident,run_id,01-resident
01-resident,arm,resident
01-resident,status,complete
01-resident,offload_count,0
01-resident,staging_slots,1
01-resident,repetitions_completed,1
01-resident,requested_kv_cache_bytes,
01-resident,exit_code,0
01-resident,launcher_elapsed_s,126.01712168101221
01-resident,smoke_matches_resident,
01-resident,performance_outputs_stable,True
01-resident,contract.batch_size,1
01-resident,contract.context_length,4096
01-resident,contract.output_length,8
01-resident,contract.tensor_parallel_size,4
01-resident,contract.gpu_memory_utilization,0.6
01-resident,contract.seed,20260905
01-resident,contract.warmups,0
01-resident,contract.timing_samples,128
01-resident,contract.max_num_seqs,256
01-resident,contract.max_num_batched_tokens,8192
01-resident,contract.repetitions_requested,1
01-resident,contract.smoke_output_length,8
01-resident,contract.source_request_count,256
01-resident,contract.unique_selected_request_count,1
01-resident,contract.repeated_request_count,0
01-resident,contract.commit,813196a4938d5fa04d6b489a7acaf3b44885b8d3
01-resident,contract.model_identity_sha256,f197bd16d71c7da5e1472aacaeb3bd213c41d7688695ac857cf30665fe951a59
01-resident,contract.model_config_sha256,2d483c7cabad7c8704478ed4038fa7e7b2eff840bc00a118eccbe38e2b488303
01-resident,contract.dataset_sha256,ae5e2428733c21f39efdd1c6ba45d9dac78e4f00d43a0a930151034eda178445
01-resident,contract.dataset_manifest_sha256,d1fa27a78c422ed77b6e44e7c1b642c8cdf3d1a5b1068d7ee0c4996079f8a75b
01-resident,contract.input_sha256,17f2a44427ea95c77ac3a8fa8b47048c812b09533a104b80986621be6e484bf7
01-resident,contract.engine_policy_sha256,c31521abdb4de4c1f8295d175ba1e834a7985899d78c947072397433df087ebf
01-resident,contract.dtype,bfloat16
01-resident,contract.versions.torch,2.8.0+cu128
01-resident,contract.versions.vllm,0.10.2
01-resident,contract.versions.cuda,12.8
01-resident,contract.versions.vllm_commit,01efc7ef781391e744ed08c3292817a773d654e6
01-resident,contract.comparison_backend,expert-cache
01-resident,contract.expert_cache.resident_ratio,0.5
01-resident,contract.expert_cache.cache_policy,decayed-lfu
01-resident,contract.expert_cache.cache_slots,256
01-resident,contract.expert_cache.calibration_count,32
01-resident,contract.expert_cache.timing_samples,128
01-resident,contract.expert_cache.profile_sha256,d9621ee27a5fe4df521bbbb2e68485d88a9a82a54f9c979a93cbd508862ca400
01-resident,contract.expert_cache.identity.geometry.total_layers,48
01-resident,contract.expert_cache.identity.geometry.num_experts,512
01-resident,contract.expert_cache.identity.geometry.hidden_size,2048
01-resident,contract.expert_cache.identity.geometry.intermediate_size,128
01-resident,contract.expert_cache.identity.tensor_parallel_size,4
01-resident,contract.expert_cache.identity.model_config_sha256,2d483c7cabad7c8704478ed4038fa7e7b2eff840bc00a118eccbe38e2b488303
01-resident,contract.expert_cache.identity.model_identity_sha256,24f6a89ba0e0435caffbb3d056425fb1fe980fca09d5a8749dfb231bd24880d8
01-resident,contract.calibration_count,32
01-resident,contract.evaluation_pool_count,224
01-resident,contract.calibration_input_hashes_sha256,feaa8b330120d2781328031822d540c273fb008c811faa1e05e92e5b18e3958f
01-resident,contract.sampling_policy,heldout-token-hash-first-unique
01-resident,contract.split_scope,full-prompt-token-hashes; source-conversation-disjointness-not-claimed
01-resident,memory[0].rank,0
01-resident,memory[0].total_gpu_bytes,85017493504
01-resident,memory[0].free_gpu_bytes,32921157632
01-resident,memory[0].torch_allocated_bytes,49011059200
01-resident,memory[0].torch_reserved_bytes,49979326464
01-resident,memory[0].torch_peak_allocated_bytes,49578541056
01-resident,memory[0].torch_peak_reserved_bytes,49979326464
01-resident,memory[0].available_kv_cache_bytes,
01-resident,memory[0].model_memory_bytes,39959379968
01-resident,memory[0].kv_cache_allocated_bytes,8980856832
01-resident,memory[0].kv_cache_declared_bytes,8980856832
01-resident,memory[0].num_gpu_blocks,2687
01-resident,memory[0].kv_cache_accounting_consistent,True
01-resident,memory[1].rank,1
01-resident,memory[1].total_gpu_bytes,85017493504
01-resident,memory[1].free_gpu_bytes,32921157632
01-resident,memory[1].torch_allocated_bytes,49011059200
01-resident,memory[1].torch_reserved_bytes,49979326464
01-resident,memory[1].torch_peak_allocated_bytes,49578541056
01-resident,memory[1].torch_peak_reserved_bytes,49979326464
01-resident,memory[1].available_kv_cache_bytes,
01-resident,memory[1].model_memory_bytes,39959379968
01-resident,memory[1].kv_cache_allocated_bytes,8980856832
01-resident,memory[1].kv_cache_declared_bytes,8980856832
01-resident,memory[1].num_gpu_blocks,2687
01-resident,memory[1].kv_cache_accounting_consistent,True
01-resident,memory[2].rank,2
01-resident,memory[2].total_gpu_bytes,85017493504
01-resident,memory[2].free_gpu_bytes,32921157632
01-resident,memory[2].torch_allocated_bytes,49011059200
01-resident,memory[2].torch_reserved_bytes,49979326464
01-resident,memory[2].torch_peak_allocated_bytes,49578541056
01-resident,memory[2].torch_peak_reserved_bytes,49979326464
01-resident,memory[2].available_kv_cache_bytes,
01-resident,memory[2].model_memory_bytes,39959379968
01-resident,memory[2].kv_cache_allocated_bytes,8980856832
01-resident,memory[2].kv_cache_declared_bytes,8980856832
01-resident,memory[2].num_gpu_blocks,2687
01-resident,memory[2].kv_cache_accounting_consistent,True
01-resident,memory[3].rank,3
01-resident,memory[3].total_gpu_bytes,85017493504
01-resident,memory[3].free_gpu_bytes,32921157632
01-resident,memory[3].torch_allocated_bytes,49011059200
01-resident,memory[3].torch_reserved_bytes,49979326464
01-resident,memory[3].torch_peak_allocated_bytes,49578541056
01-resident,memory[3].torch_peak_reserved_bytes,49979326464
01-resident,memory[3].available_kv_cache_bytes,
01-resident,memory[3].model_memory_bytes,39959379968
01-resident,memory[3].kv_cache_allocated_bytes,8980856832
01-resident,memory[3].kv_cache_declared_bytes,8980856832
01-resident,memory[3].num_gpu_blocks,2687
01-resident,memory[3].kv_cache_accounting_consistent,True
01-resident,final_memory[0].rank,0
01-resident,final_memory[0].total_gpu_bytes,85017493504
01-resident,final_memory[0].free_gpu_bytes,29983047680
01-resident,final_memory[0].torch_allocated_bytes,49011066368
01-resident,final_memory[0].torch_reserved_bytes,49979326464
01-resident,final_memory[0].torch_peak_allocated_bytes,49294943744
01-resident,final_memory[0].torch_peak_reserved_bytes,49979326464
01-resident,final_memory[0].available_kv_cache_bytes,
01-resident,final_memory[0].model_memory_bytes,39959379968
01-resident,final_memory[0].kv_cache_allocated_bytes,8980856832
01-resident,final_memory[0].kv_cache_declared_bytes,8980856832
01-resident,final_memory[0].num_gpu_blocks,2687
01-resident,final_memory[0].kv_cache_accounting_consistent,True
01-resident,final_memory[1].rank,1
01-resident,final_memory[1].total_gpu_bytes,85017493504
01-resident,final_memory[1].free_gpu_bytes,29983047680
01-resident,final_memory[1].torch_allocated_bytes,49011066368
01-resident,final_memory[1].torch_reserved_bytes,49979326464
01-resident,final_memory[1].torch_peak_allocated_bytes,49294943744
01-resident,final_memory[1].torch_peak_reserved_bytes,49979326464
01-resident,final_memory[1].available_kv_cache_bytes,
01-resident,final_memory[1].model_memory_bytes,39959379968
01-resident,final_memory[1].kv_cache_allocated_bytes,8980856832
01-resident,final_memory[1].kv_cache_declared_bytes,8980856832
01-resident,final_memory[1].num_gpu_blocks,2687
01-resident,final_memory[1].kv_cache_accounting_consistent,True
01-resident,final_memory[2].rank,2
01-resident,final_memory[2].total_gpu_bytes,85017493504
01-resident,final_memory[2].free_gpu_bytes,29983047680
01-resident,final_memory[2].torch_allocated_bytes,49011066368
01-resident,final_memory[2].torch_reserved_bytes,49979326464
01-resident,final_memory[2].torch_peak_allocated_bytes,49294943744
01-resident,final_memory[2].torch_peak_reserved_bytes,49979326464
01-resident,final_memory[2].available_kv_cache_bytes,
01-resident,final_memory[2].model_memory_bytes,39959379968
01-resident,final_memory[2].kv_cache_allocated_bytes,8980856832
01-resident,final_memory[2].kv_cache_declared_bytes,8980856832
01-resident,final_memory[2].num_gpu_blocks,2687
01-resident,final_memory[2].kv_cache_accounting_consistent,True
01-resident,final_memory[3].rank,3
01-resident,final_memory[3].total_gpu_bytes,85017493504
01-resident,final_memory[3].free_gpu_bytes,29983047680
01-resident,final_memory[3].torch_allocated_bytes,49011066368
01-resident,final_memory[3].torch_reserved_bytes,49979326464
01-resident,final_memory[3].torch_peak_allocated_bytes,49294943744
01-resident,final_memory[3].torch_peak_reserved_bytes,49979326464
01-resident,final_memory[3].available_kv_cache_bytes,
01-resident,final_memory[3].model_memory_bytes,39959379968
01-resident,final_memory[3].kv_cache_allocated_bytes,8980856832
01-resident,final_memory[3].kv_cache_declared_bytes,8980856832
01-resident,final_memory[3].num_gpu_blocks,2687
01-resident,final_memory[3].kv_cache_accounting_consistent,True
01-resident,hardware_budget.total_gpu_bytes_by_rank[0],85017493504
01-resident,hardware_budget.total_gpu_bytes_by_rank[1],85017493504
01-resident,hardware_budget.total_gpu_bytes_by_rank[2],85017493504
01-resident,hardware_budget.total_gpu_bytes_by_rank[3],85017493504
01-resident,hardware_budget.requested_gpu_bytes_by_rank[0],51010496102
01-resident,hardware_budget.requested_gpu_bytes_by_rank[1],51010496102
01-resident,hardware_budget.requested_gpu_bytes_by_rank[2],51010496102
01-resident,hardware_budget.requested_gpu_bytes_by_rank[3],51010496102
01-resident,smoke.elapsed_s,15.24720033397898
01-resident,smoke.generated_tokens,8
01-resident,smoke.request_count,1
01-resident,smoke.output_tokens_per_second,0.5246864883234785
01-resident,smoke.latency_available_requests,0
01-resident,smoke.ttft_available_requests,0
01-resident,smoke.ttft_median_s,
01-resident,smoke.request_latency_median_s,
01-resident,smoke.input_sha256,17f2a44427ea95c77ac3a8fa8b47048c812b09533a104b80986621be6e484bf7
01-resident,smoke.output_sha256,b512fd12a4a5eace21091c769d8bf4d4bf5d2f1a5577411243f4c11e02c6d54d
01-resident,repetitions[0].repetition,0
01-resident,repetitions[0].elapsed_s,0.6532559487968683
01-resident,repetitions[0].generated_tokens,8
01-resident,repetitions[0].request_count,1
01-resident,repetitions[0].output_tokens_per_second,12.246348486736277
01-resident,repetitions[0].latency_available_requests,0
01-resident,repetitions[0].ttft_available_requests,0
01-resident,repetitions[0].ttft_median_s,
01-resident,repetitions[0].request_latency_median_s,
01-resident,repetitions[0].output_sha256,b512fd12a4a5eace21091c769d8bf4d4bf5d2f1a5577411243f4c11e02c6d54d
01-resident,repetitions[0].timing_available,False
01-resident,repetitions[0].diagnostics.h2d_bytes,0
01-resident,repetitions[0].diagnostics.copy_launches,0
01-resident,repetitions[0].diagnostics.startup_resident_h2d_bytes,0
01-resident,repetitions[0].diagnostics.promotion_d2d_bytes,0
01-resident,repetitions[0].diagnostics.metadata_h2d_bytes,0
01-resident,repetitions[0].diagnostics.unique_demands,0
01-resident,repetitions[0].diagnostics.resident_hits,0
01-resident,repetitions[0].diagnostics.timing.route_d2h_s,0
01-resident,repetitions[0].diagnostics.timing.policy_cpu_s,0
01-resident,repetitions[0].diagnostics.timing.host_reuse_wait_s,0
01-resident,repetitions[0].diagnostics.timing.host_gather_s,0
01-resident,repetitions[0].diagnostics.timing.h2d_enqueue_s,0
01-resident,repetitions[0].diagnostics.timing.compute_enqueue_s,0
01-resident,repetitions[0].diagnostics.timing.cuda_sample_count,0
01-resident,repetitions[0].diagnostics.timing.load_cuda_s,0
01-resident,repetitions[0].diagnostics.timing.compute_cuda_s,0
01-resident,repetitions[0].diagnostics.timing.promotion_cuda_s,0
01-resident,repetitions[0].diagnostics.policy.observations,0
01-resident,repetitions[0].diagnostics.policy.unique_demands,0
01-resident,repetitions[0].diagnostics.policy.completed_forwards,0
01-resident,repetitions[0].diagnostics.policy.decay_events,0
01-resident,repetitions[0].diagnostics.policy.cache_hits,0
01-resident,repetitions[0].diagnostics.policy.cache_misses,0
01-resident,repetitions[0].diagnostics.policy.admissions,0
01-resident,repetitions[0].diagnostics.policy.evictions,0
01-resident,repetitions[0].diagnostics.policy.cache_bypasses,0
01-resident,repetitions[0].diagnostics.policy.reconfigurations,0
01-resident,repetitions[0].diagnostics.policy.cache_hit_ratio,
01-resident,repetitions[0].diagnostics.per_rank[0].h2d_bytes,0
01-resident,repetitions[0].diagnostics.per_rank[0].copy_launches,0
01-resident,repetitions[0].diagnostics.per_rank[0].startup_resident_h2d_bytes,0
01-resident,repetitions[0].diagnostics.per_rank[0].promotion_d2d_bytes,0
